Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,SSDPED1D960GAX1,Intel,905P Optane 960GB,4,434,462,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY,437
SSD,SDSSDXPS-960G-G25,SanDisk,Extreme PRO 960GB,258,96.5,2265,https://ssd.userbenchmark.com/SanDisk-Extreme-PRO-960GB/Rating/3581,437
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 2TB,11,363,5248,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600,433
SSD,MZ-75E2T0B,Samsung,SSD 850 EVO 2TB,196,112,6414,https://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB,431
SSD,MZ-7PC512B/WW,Samsung,SSD 830 512GB,607,72.4,1497,https://ssd.userbenchmark.com/SpeedTest/1612/Samsung-SSD-830-Series,430
SSD,TS1TSSD370,Transcend,SSD370 1TB,358,86.9,207,https://ssd.userbenchmark.com/Transcend-SSD370-1TB/Rating/3579,429
SSD,MZ-7PD512BW,Samsung,SSD 840 PRO 512GB,253,96.9,12348,https://ssd.userbenchmark.com/SpeedTest/2708/Samsung-SSD-840-PRO-Series,426
SSD,SSDSC2BB240G4,Intel,S3500 Series 240GB,537,76,546,https://ssd.userbenchmark.com/SpeedTest/14275/INTEL-SSDSC2BB240G4,421
SSD,MZ-77E4T0B,Samsung,SSD 870 EVO 4TB,186,117,135,https://ssd.userbenchmark.com/SpeedTest/1465671/Samsung-SSD-870-EVO-4TB,420
SSD,CSSD-F180GBGT-BK,Corsair,Force GT 180GB,612,72.2,815,https://ssd.userbenchmark.com/SpeedTest/1126/Corsair-Force-GT,407
SSD,VTX460-25SAT3-240G,OCZ,Vertex 460 240GB,328,89.3,1552,https://ssd.userbenchmark.com/OCZ-Vertex-460-240GB/Rating/2043,402
SSD,MZ-V6P512BW,Samsung,SSD 960 PRO 512GB,39,273,56537,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB,400
SSD,MZ-V5P512BW,Samsung,SSD 950 512GB,75,222,47099,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950,400
SSD,PX-512M6S,Plextor,M6S 512GB,364,86.5,79,https://ssd.userbenchmark.com/Plextor-M6S-512GB/Rating/3506,399
SSD,CSSD-F1920GBMP510,Corsair,Force 2TB,60,237,2418,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510,392
SSD,MKNSSDST240GB,Mushkin,Striker 240GB,506,77.8,99,https://ssd.userbenchmark.com/SpeedTest/36396/MKNSSDST240GB,390
SSD,CSSD-N480GBGTXB-BK,Corsair,Neutron GTX 480GB,431,82.8,444,https://ssd.userbenchmark.com/SpeedTest/9137/Corsair-Neutron-GTX-SSD,375
