Manufacturer,Model,Chipset,Socket,Memory,Slots,Price
Asus,P8H61,Intel,1155,DDR3,2,49
Asus,M5A78L-M/USB3,AMD,AM3,DDR3,4,49
Asus,P8H61-M Plus V2,Intel,1155,DDR3,2,48
Asus,Z97-P,Intel,1150,DDR3,4,48
MSI,B85M-P32,Intel,1150,DDR3,2,48
Asus,M4A88T-M LE,AMD,AM3,DDR3,2,47
Asus,A85XM-A,AMD,FM2,DDR3,2,47
MSI,M2-A75MA-E35,AMD,FM2,DDR3,2,47
MSI,M2-A75MA-P33,AMD,FM2,DDR3,2,47
Asus,H110M-A-MK2,Intel,1151,DDR4,2,46
MSI,B110m,Intel,1151,DDR4,4,46
MSI,GF615M-P33v1K3,AMD,AM3,DDR3,2,46
Asus,P8H61-M Plus,Intel,1155,DDR3,2,45
MSI,890GX-G65,AMD,AM3,DDR3,4,45
Asus,B85M-F,Intel,1150,DDR3,2,44
Asus,B85M-K,Intel,1150,DDR3,2,44
Asus,H81M-PLUS,Intel,1150,DDR3,2,44
Asus,F2A55-M LE,AMD,FM2,DDR3,2,44
Asus,F2A85-M2,AMD,FM2,DDR3,4,44
Asus,B85M-D PLUS,Intel,1150,DDR3,2,43
Asus,B85M-D,Intel,1150,DDR3,2,42
Asus,F2A55-M LK,AMD,FM2,DDR3,2,42
Asus,F2A55-M LK PLUS,AMD,FM2,DDR3,2,42
Asus,A68HM-PLUS,AMD,FM2,DDR3,2,42
MSI,GF725GM-P31,AMD,AM3,DDR3,2,42
Asus,H61M-Plus,Intel,1155,DDR3,2,41
Asus,H61M-E,Intel,1155,DDR3,2,41
Asus,M5A78L-M LX PLUS,AMD,AM3,DDR3,2,41
MSI,M2-A55M-E35,AMD,FM2,DDR3,4,40
Asus,H110M-C,Intel,1151,DDR4,2,39
Asus,A55M-A,AMD,FM2,DDR3,2,39
MSI,A88XM-E35,AMD,FM2,DDR3,2,39
Asus,M4N68T-M V2,AMD,AM3,DDR3,2,36
Asus,M4N68T V2,AMD,AM3,DDR3,4,36
Asus,M4N68T-M LE V2,AMD,AM3,DDR3,2,36
Asus,A55M-A-USB3,AMD,FM2,DDR3,2,30
Asus,A55M-E,AMD,FM2,DDR3,2,30
MSI,890FX-GD70,AMD,AM3,DDR3,4,30
MSI,M2-A55M-P33,AMD,FM2,DDR3,2,30
Asus,H61M-K,Intel,1155,DDR3,2,29
MSI,860GMA-P34 (FX),AMD,AM3,DDR3,2,29
Asus,Z170-PREMIUM,Intel,1151,DDR4,4,27
MSI,885GM-E51,AMD,AM3,DDR3,4,25
Asus,Sabertooth,Intel,1155,DDR3,4,20
