Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
HDD,WD2002FAEX,WD,Black 2TB (2010),159,66.4,38599,https://hdd.userbenchmark.com/WD-Black-2TB-2010/Rating/1414,289
HDD,ST12000VN0007,Seagate,IronWolf 12TB (2017),180,62.3,23,https://hdd.userbenchmark.com/SpeedTest/408715/ST12000VN0007-2GS116,286
HDD,WD80EFAX,WD,Red 8TB (2017),40,88.1,3590,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0,280
HDD,ST8000AS0002,Seagate,Archive HDD 8TB (2015),196,59.7,1474,https://hdd.userbenchmark.com/SpeedTest/30791/ST8000AS0002-1NA17Z,278
HDD,WD60EZRX,WD,Green 6TB (2014),107,75.7,3284,https://hdd.userbenchmark.com/WD-Green-6TB-2014/Rating/3518,272
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),17,92,655,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z,262
HDD,,Hitachi,HDS721075CLA332 750GB,231,56.7,2878,https://hdd.userbenchmark.com/SpeedTest/5587/Hitachi-HDS721075CLA332,257
HDD,WD4004FZWX,WD,Black 4TB (2016),16,92.4,7452,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908,249
HDD,,Seagate,ST33000651AS 3TB,149,67.5,3945,https://hdd.userbenchmark.com/SpeedTest/2159/ST33000651AS,249
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,18,91.7,7050,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0,248
HDD,ST8000VX0022,Seagate,SkyHawk 8TB (2016),132,70.1,50,https://hdd.userbenchmark.com/SpeedTest/228255/ST8000VX-ST8000VX0022-2EJ,246
HDD,ST6000VX0023,Seagate,SkyHawk 6TB (2016),87,79.3,89,https://hdd.userbenchmark.com/SpeedTest/219872/ST6000VX0023-2EF110,242
HDD,,Toshiba,MK1002TSKB 1TB,182,62.2,762,https://hdd.userbenchmark.com/SpeedTest/6001/TOSHIBA-MK1002TSKB,237
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,23,91.4,738,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600,235
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,23,91.4,738,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600,235
HDD,,Hitachi,HDS5C3020ALA632 2TB,254,54.9,6458,https://hdd.userbenchmark.com/SpeedTest/693/Hitachi-HDS5C3020ALA632,232
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,8,95.2,5488,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389,231
HDD,WD5000BHTZ,WD,VelociRaptor 2.5 500GB,13,93.3,354,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1,231
HDD,,Seagate,ST500NM0011 500GB,153,67.2,1608,https://hdd.userbenchmark.com/SpeedTest/2942/ST500NM0011,219
HDD,0S03839,HGST,Deskstar NAS 6TB,7,96.7,824,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610,215
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,44,86.8,496,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600,215
HDD,,Seagate,ST31000520AS 1TB,325,49.1,8709,https://hdd.userbenchmark.com/SpeedTest/1280/ST31000520AS,215
HDD,WD50EZRX,WD,Green 5TB (2014),101,76.7,1375,https://hdd.userbenchmark.com/WD-Green-5TB-2014/Rating/3517,214
HDD,,Seagate,ST32000645NS 2TB,123,71.3,873,https://hdd.userbenchmark.com/SpeedTest/9954/Seagate-ST32000645NS,213
HDD,ST4000DX001,Seagate,Desktop SSHD 4TB,117,72.6,17410,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668,210
HDD,STCL4000400,Seagate,Desktop SSHD 4TB,117,72.6,17410,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668,210
HDD,WD40E31X,WD,Blue SSHD 4TB (2015),174,63.1,1658,https://hdd.userbenchmark.com/SpeedTest/35578/WDC-WD40E31X-00HY4A0,206
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),27,89.5,243,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X,201
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,37,88.4,14213,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1,200
