Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,YD220GC6FBBOX,AMD,Athlon 220GE,543,58.2,448,https://cpu.userbenchmark.com/SpeedTest/700311/AMD-Athlon-220GE-with-Radeon-Vega-Graphics,95
CPU,BX80662G4500,Intel,Pentium G4500,563,57.2,2993,https://cpu.userbenchmark.com/Intel-Pentium-G4500/Rating/3538,95
CPU,,AMD,FX-4100,605,55.3,26565,https://cpu.userbenchmark.com/AMD-FX-4100/Rating/2878,95
CPU,,Intel,Xeon E31270,280,72.1,2280,https://cpu.userbenchmark.com/SpeedTest/5604/IntelR-XeonR-CPU-E31270---340GHz,92
CPU,,AMD,Phenom II X4 970,493,60.8,2080,https://cpu.userbenchmark.com/SpeedTest/2231/AMD-Phenomtm-II-X4-970-Processor,92
CPU,BX80677G4560,Intel,Pentium G4560,477,61.9,62753,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892,91
CPU,,Intel,Core i7-2960XM,413,65.4,723,https://cpu.userbenchmark.com/SpeedTest/2390/IntelR-CoreTM-i7-2960XM-CPU---270GHz,90
CPU,,Intel,Core i3-2105,524,58.9,934,https://cpu.userbenchmark.com/SpeedTest/2747/IntelR-CoreTM-i3-2105-CPU---310GHz,90
CPU,,Intel,Xeon E5-2680 v2,620,54.9,39,https://cpu.userbenchmark.com/SpeedTest/17083/IntelR-XeonR-CPU-E5-2680-v2---280GHz,90
CPU,AD680KWOHLBOX,AMD,A10-6800K APU (2013 D.Ri),596,55.6,11707,https://cpu.userbenchmark.com/AMD-A10-6800K-APU-2013-DRi/Rating/2936,89
CPU,,Intel,Core i3-7167U,509,59.9,33,https://cpu.userbenchmark.com/SpeedTest/357115/IntelR-CoreTM-i3-7167U-CPU---280GHz,88
CPU,CM8068403360212,Intel,Pentium G5400T,438,63.6,126,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz,87
CPU,,Intel,Core i7-4558U,558,57.4,680,https://cpu.userbenchmark.com/SpeedTest/4092/IntelR-CoreTM-i7-4558U-CPU---280GHz,87
CPU,AW8063801208001,Intel,Core i5-3230M,641,54.1,54118,https://cpu.userbenchmark.com/Intel-Core-i5-3230M/Rating/2772,86
CPU,,Intel,Core i3-3120M,680,52.6,12745,https://cpu.userbenchmark.com/SpeedTest/923/IntelR-CoreTM-i3-3120M-CPU---250GHz,86
CPU,,Intel,Core i7 Q 720,692,52,14753,https://cpu.userbenchmark.com/SpeedTest/140/IntelR-CoreTM-i7-CPU-------Q-720----160GHz,86
CPU,,Intel,Core i7 X 980,191,76.7,5951,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz,84
CPU,,Intel,Pentium G2130,626,54.5,1659,https://cpu.userbenchmark.com/SpeedTest/9126/IntelR-PentiumR-CPU-G2130---320GHz,82
CPU,,Intel,Core i7 980,213,75.8,2013,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz,80
CPU,,Intel,Core i7-5650U,601,55.4,203,https://cpu.userbenchmark.com/SpeedTest/26818/IntelR-CoreTM-i7-5650U-CPU---220GHz,80
CPU,,Intel,Core i7-4600U,637,54.2,20275,https://cpu.userbenchmark.com/SpeedTest/2752/IntelR-CoreTM-i7-4600U-CPU---210GHz,80
CPU,,AMD,Ryzen 7 3700U,659,53.3,14013,https://cpu.userbenchmark.com/SpeedTest/765724/AMD-Ryzen-7-3700U-with-Radeon-Vega-Mobile-Gfx,80
CPU,,Intel,Core i5-2520M,669,52.8,40139,https://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz,80
CPU,,Intel,Core i5-1035G7,492,60.8,2920,https://cpu.userbenchmark.com/SpeedTest/920409/IntelR-CoreTM-i5-1035G7-CPU---120GHz,79
CPU,,Intel,Core i5-1130G7,393,66.1,41,https://cpu.userbenchmark.com/SpeedTest/1418235/11th-Gen-IntelR-CoreTM-i5-1130G7---110GHz,78
CPU,BX80646G3440,Intel,Pentium G3440,552,57.7,474,https://cpu.userbenchmark.com/Intel-Pentium-G3440/Rating/2435,78
CPU,,Intel,Core i7-5600U,631,54.4,16244,https://cpu.userbenchmark.com/SpeedTest/22612/IntelR-CoreTM-i7-5600U-CPU---260GHz,78
CPU,,Intel,Xeon X5667,316,70.3,294,https://cpu.userbenchmark.com/SpeedTest/21709/IntelR-XeonR-CPU-----------X5667----307GHz,77
CPU,BX80605I5750,Intel,Core i5-750,428,64.5,45333,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773,77
CPU,FD4300WMHKBOX,AMD,FX-4300,554,57.6,41658,https://cpu.userbenchmark.com/AMD-FX-4300/Rating/2879,77
CPU,,Intel,Core i7-3537U,658,53.3,14596,https://cpu.userbenchmark.com/SpeedTest/504/IntelR-CoreTM-i7-3537U-CPU---200GHz,77
CPU,BX80646G3240Â ,Intel,Pentium G3240,660,53.2,8385,https://cpu.userbenchmark.com/Intel-Pentium-G3240/Rating/2820,76
CPU,,AMD,FX-8310,467,62.4,1499,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor,75
CPU,,AMD,Ryzen 5 3500U,652,53.8,48511,https://cpu.userbenchmark.com/SpeedTest/760067/AMD-Ryzen-5-3500U-with-Radeon-Vega-Mobile-Gfx,73
CPU,,Intel,Core i5-4670S,243,74.4,1202,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz,72
CPU,BX80701G6600,Intel,Pentium Gold G6600,258,73.4,17,https://cpu.userbenchmark.com/SpeedTest/1454523/IntelR-PentiumR-Gold-G6600-CPU---420GHz,72
CPU,,Intel,Xeon X3430,475,62.1,3190,https://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz,72
CPU,HDZ955FBGMBOX,AMD,Phenom II X4 955,546,57.9,33145,https://cpu.userbenchmark.com/AMD-Phenom-II-X4-955/Rating/2935,71
CPU,,Intel,Xeon E3-1271 v3,186,77.3,1101,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz,70
CPU,100-100000284BOX,AMD,Ryzen 3 3100,192,76.7,27714,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor,70
CPU,,Intel,Core i3-6098P,465,62.4,4786,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz,69
CPU,,Intel,Xeon L5520,526,58.8,150,https://cpu.userbenchmark.com/SpeedTest/6285/IntelR-XeonR-CPU-----------L5520----227GHz,69
CPU,,AMD,Phenom II X4 945,580,56.3,12519,https://cpu.userbenchmark.com/SpeedTest/101/AMD-Phenomtm-II-X4-945-Processor,69
CPU,,Intel,Xeon E3-1275 v3,187,77.1,292,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz,68
CPU,,Intel,Core i7-1065G7,417,65.3,31233,https://cpu.userbenchmark.com/SpeedTest/888368/IntelR-CoreTM-i7-1065G7-CPU---130GHz,68
CPU,,Intel,Core i7-4600M,545,58,5418,https://cpu.userbenchmark.com/SpeedTest/4429/IntelR-CoreTM-i7-4600M-CPU---290GHz,68
CPU,YD200GC6FBBOX,AMD,Athlon 200GE,603,55.4,8789,https://cpu.userbenchmark.com/SpeedTest/592714/AMD-Athlon-200GE-with-Radeon-Vega-Graphics,68
CPU,BX80701G6400,Intel,Pentium Gold G6400,303,71,1070,https://cpu.userbenchmark.com/SpeedTest/1221579/IntelR-PentiumR-Gold-G6400-CPU---400GHz,67
CPU,,Intel,Xeon E3-1270 v3,203,76.2,567,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz,65
CPU,BX80677G3950,Intel,Celeron G3950,586,56,199,https://cpu.userbenchmark.com/SpeedTest/242877/IntelR-CeleronR-CPU-G3950---300GHz,65
CPU,,Intel,Xeon E3-1265L v3,270,73,117,https://cpu.userbenchmark.com/SpeedTest/20266/IntelR-XeonR-CPU-E3-1265L-v3---250GHz,64
CPU,BX80623I52400,Intel,Core i5-2400,350,68.6,131462,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803,64
CPU,,Intel,Core i5-2320,358,68.2,25992,https://cpu.userbenchmark.com/SpeedTest/1735/IntelR-CoreTM-i5-2320-CPU---300GHz,63
CPU,,Intel,Pentium G2030,695,51.8,15107,https://cpu.userbenchmark.com/SpeedTest/3273/IntelR-PentiumR-CPU-G2030---300GHz,62
CPU,BX80684G4900,Intel,Celeron G4900,653,53.7,1581,https://cpu.userbenchmark.com/SpeedTest/482751/IntelR-CeleronR-G4900-CPU---310GHz,61
CPU,,Intel,Core i5-1145G7,214,75.8,182,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,60
